mask_p,metric,r_hat,radius,f_hat,lcb_f,ucb_f
0.05,zero_one,0.0066999997943639755,0.03362087186595333,0.993300000205636,0.9596791283396827,1.0
0.05,clipped_kl,0.009722516871988773,0.03362087186595333,0.9902774831280112,0.9566566112620579,1.0
0.05,clipped_l2,0.01450653187930584,0.03362087186595333,0.9854934681206942,0.9518725962547409,1.0
0.1,zero_one,0.009399999864399433,0.03362087186595333,0.9906000001356006,0.9569791282696473,1.0
0.1,clipped_kl,0.014606686308979988,0.03362087186595333,0.98539331369102,0.9517724418250667,1.0
0.1,clipped_l2,0.020158804953098297,0.03362087186595333,0.9798411950469017,0.9462203231809484,1.0
0.2,zero_one,0.03139999881386757,0.03362087186595333,0.9686000011861324,0.9349791293201791,1.0
0.2,clipped_kl,0.04967048764228821,0.03362087186595333,0.9503295123577118,0.9167086404917585,0.9839503842236651
0.2,clipped_l2,0.056343577802181244,0.03362087186595333,0.9436564221978188,0.9100355503318655,0.9772772940637721
0.5,zero_one,0.3255999982357025,0.03362087186595333,0.6744000017642975,0.6407791298983442,0.7080208736302508
0.5,clipped_kl,0.422267347574234,0.03362087186595333,0.577732652425766,0.5441117805598127,0.6113535242917193
0.5,clipped_l2,0.3909088969230652,0.03362087186595333,0.6090911030769348,0.5754702312109815,0.6427119749428881
