method,keep,mask_p,sampling,cs_type,n,r_hat,radius,lcb_f,ucb_f
cip-affine,384,0.1,iid,hoeffding,100,0.02,0.25881383394788676,0.7211861660521133,1.0
cip-affine,384,0.1,iid,hoeffding,200,0.01,0.19224473002972509,0.7977552699702749,1.0
cip-affine,384,0.1,iid,hoeffding,500,0.008,0.12890227287922065,0.8630977271207794,1.0
cip-affine,384,0.1,iid,hoeffding,1000,0.007,0.09487383810763891,0.898126161892361,1.0
cip-affine,384,0.1,iid,hoeffding,2000,0.009,0.06962108997220032,0.9213789100277997,1.0
cip-affine,384,0.1,iid,hoeffding,5000,0.0102,0.046066219879014554,0.9437337801209854,1.0
cip-affine,384,0.1,iid,hoeffding,10000,0.0107,0.03362087186595333,0.9556791281340467,1.0
cip-affine,384,0.1,iid,betting,50,0.02,0.09031585693359379,0.8193682861328124,1.0
cip-affine,384,0.1,iid,betting,100,0.02,0.053705673217773434,0.8925886535644532,1.0
cip-affine,384,0.1,iid,betting,200,0.01,0.02896221160888672,0.9420755767822265,1.0
cip-affine,384,0.1,iid,betting,500,0.008,0.015235229492187502,0.969529541015625,1.0
cip-affine,384,0.1,iid,betting,1000,0.007,0.009727462768554688,0.9805450744628906,1.0
cip-affine,384,0.1,iid,betting,2000,0.009,0.007562660217285154,0.9821237030029297,0.9972490234375
cip-affine,384,0.1,iid,betting,5000,0.0102,0.004873832702636719,0.9841363189697265,0.993883984375
cip-affine,384,0.1,iid,betting,10000,0.0107,0.0036044055938720693,0.9852468528747559,0.9924556640625
cip-affine,384,0.1,adaptive,hoeffding,50,0.0,0.49509071045660724,0.5049092895433928,1.0
cip-affine,384,0.1,adaptive,hoeffding,100,0.0,0.3697340484969811,0.6302659515030189,1.0
cip-affine,384,0.1,adaptive,hoeffding,200,0.0,0.274635328613893,0.725364671386107,1.0
cip-affine,384,0.1,adaptive,hoeffding,500,0.0072022521495819095,0.18414610411317237,0.8086516437372457,1.0
cip-affine,384,0.1,adaptive,hoeffding,1000,0.00883880724478513,0.13553405443948416,0.8556271383157307,1.0
cip-affine,384,0.1,adaptive,hoeffding,2000,0.010159487810451538,0.09945869996028617,0.8903818122292623,1.0
cip-affine,384,0.1,adaptive,hoeffding,5000,0.011142522257752717,0.06580888554144937,0.9230485922007979,1.0
cip-affine,384,0.1,adaptive,hoeffding,10000,0.010365224779443816,0.04802981695136191,0.9416049582691943,1.0
cip-affine,384,0.1,adaptive,betting,50,0.0,0.09090423583984375,0.8181915283203125,1.0
cip-affine,384,0.1,adaptive,betting,100,0.0,0.044506617954799106,0.9109867640904018,1.0
cip-affine,384,0.1,adaptive,betting,200,0.0,0.022027151925223216,0.9559456961495536,1.0
cip-affine,384,0.1,adaptive,betting,500,0.0072022521495819095,0.017123826292976707,0.9657523474140466,1.0
cip-affine,384,0.1,adaptive,betting,1000,0.00883880724478513,0.013350140517258116,0.9732997189654837,1.0
cip-affine,384,0.1,adaptive,betting,2000,0.010159487810451538,0.009339189193032674,0.9785535580405792,0.9972319364266445
cip-affine,384,0.1,adaptive,betting,5000,0.011142522257752719,0.005566232880837192,0.9819905087823688,0.9931229745440432
cip-affine,384,0.1,adaptive,betting,10000,0.010365224779443816,0.0037273790353312976,0.9851660926478779,0.9926208507185404
cip-affine,384,0.2,iid,hoeffding,50,0.04,0.34656349731962505,0.613436502680375,1.0
cip-affine,384,0.2,iid,hoeffding,100,0.03,0.25881383394788676,0.7111861660521133,1.0
cip-affine,384,0.2,iid,hoeffding,200,0.02,0.19224473002972509,0.7877552699702749,1.0
cip-affine,384,0.2,iid,hoeffding,500,0.024,0.12890227287922065,0.8470977271207794,1.0
cip-affine,384,0.2,iid,hoeffding,1000,0.017,0.09487383810763891,0.888126161892361,1.0
cip-affine,384,0.2,iid,hoeffding,2000,0.021,0.06962108997220032,0.9093789100277997,1.0
cip-affine,384,0.2,iid,hoeffding,5000,0.0254,0.046066219879014554,0.9285337801209854,1.0
cip-affine,384,0.2,iid,hoeffding,10000,0.0272,0.03362087186595333,0.9391791281340467,1.0
cip-affine,384,0.2,iid,betting,50,0.04,0.10574829101562502,0.78850341796875,1.0
cip-affine,384,0.2,iid,betting,100,0.03,0.06665557861328125,0.8666888427734375,1.0
cip-affine,384,0.2,iid,betting,200,0.02,0.03867729187011719,0.9226454162597656,1.0
cip-affine,384,0.2,iid,betting,500,0.024,0.025453918457031256,0.9456116943359375,0.99651953125
cip-affine,384,0.2,iid,betting,1000,0.017,0.015051448822021479,0.9649332351684571,0.9950361328125
cip-affine,384,0.2,iid,betting,2000,0.021,0.011356010437011716,0.9656600494384766,0.9883720703125
cip-affine,384,0.2,iid,betting,5000,0.0254,0.007723957824707035,0.9660787933349609,0.981526708984375
cip-affine,384,0.2,iid,betting,10000,0.0272,0.005760546875000001,0.966684375,0.97820546875
cip-affine,384,0.2,adaptive,hoeffding,50,0.026908569002989678,0.49509071045660724,0.4780007205404031,1.0
cip-affine,384,0.2,adaptive,hoeffding,100,0.027739252877654507,0.3697340484969811,0.6025266986253643,1.0
cip-affine,384,0.2,adaptive,hoeffding,200,0.027690796788665466,0.274635328613893,0.6976738745974416,1.0
cip-affine,384,0.2,adaptive,hoeffding,500,0.03167682749847882,0.18414610411317237,0.7841770683883489,1.0
cip-affine,384,0.2,adaptive,hoeffding,1000,0.03070881326039671,0.13553405443948416,0.8337571323001192,1.0
cip-affine,384,0.2,adaptive,hoeffding,2000,0.023279270418992384,0.09945869996028617,0.8772620296207214,1.0
cip-affine,384,0.2,adaptive,hoeffding,5000,0.026862664771810523,0.06580888554144937,0.9073284496867401,1.0
cip-affine,384,0.2,adaptive,hoeffding,10000,0.026721832647021847,0.04802981695136191,0.9252483504016162,1.0
cip-affine,384,0.2,adaptive,betting,50,0.026908569002989678,0.1157515479493074,0.7684969041013852,1.0
cip-affine,384,0.2,adaptive,betting,100,0.02773925287765451,0.07335625889970027,0.8532874822005995,1.0
cip-affine,384,0.2,adaptive,betting,200,0.027690796788665466,0.053481368113009305,0.8930372637739814,1.0
cip-affine,384,0.2,adaptive,betting,500,0.03167682749847882,0.03557092081041685,0.9251924317594693,0.996334273380303
