method,keep,mask_p,sampling,cs_type,F_0,n_certify,certified
random,256,0.5,iid,betting,0.95,10000,False
random,256,0.5,iid,betting,0.99,10000,False
random,256,0.5,adaptive,hoeffding,0.9,10000,False
random,256,0.5,adaptive,hoeffding,0.95,10000,False
random,256,0.5,adaptive,hoeffding,0.99,10000,False
random,256,0.5,adaptive,betting,0.9,10000,False
random,256,0.5,adaptive,betting,0.95,10000,False
random,256,0.5,adaptive,betting,0.99,10000,False
random,128,0.1,iid,hoeffding,0.9,10000,False
random,128,0.1,iid,hoeffding,0.95,10000,False
random,128,0.1,iid,hoeffding,0.99,10000,False
random,128,0.1,iid,betting,0.9,10000,False
random,128,0.1,iid,betting,0.95,10000,False
random,128,0.1,iid,betting,0.99,10000,False
random,128,0.1,adaptive,hoeffding,0.9,10000,False
random,128,0.1,adaptive,hoeffding,0.95,10000,False
random,128,0.1,adaptive,hoeffding,0.99,10000,False
random,128,0.1,adaptive,betting,0.9,10000,False
random,128,0.1,adaptive,betting,0.95,10000,False
random,128,0.1,adaptive,betting,0.99,10000,False
random,128,0.2,iid,hoeffding,0.9,10000,False
random,128,0.2,iid,hoeffding,0.95,10000,False
random,128,0.2,iid,hoeffding,0.99,10000,False
random,128,0.2,iid,betting,0.9,10000,False
random,128,0.2,iid,betting,0.95,10000,False
random,128,0.2,iid,betting,0.99,10000,False
random,128,0.2,adaptive,hoeffding,0.9,10000,False
random,128,0.2,adaptive,hoeffding,0.95,10000,False
random,128,0.2,adaptive,hoeffding,0.99,10000,False
random,128,0.2,adaptive,betting,0.9,10000,False
random,128,0.2,adaptive,betting,0.95,10000,False
random,128,0.2,adaptive,betting,0.99,10000,False
random,128,0.5,iid,hoeffding,0.9,10000,False
random,128,0.5,iid,hoeffding,0.95,10000,False
random,128,0.5,iid,hoeffding,0.99,10000,False
random,128,0.5,iid,betting,0.9,10000,False
random,128,0.5,iid,betting,0.95,10000,False
random,128,0.5,iid,betting,0.99,10000,False
random,128,0.5,adaptive,hoeffding,0.9,10000,False
random,128,0.5,adaptive,hoeffding,0.95,10000,False
random,128,0.5,adaptive,hoeffding,0.99,10000,False
random,128,0.5,adaptive,betting,0.9,10000,False
random,128,0.5,adaptive,betting,0.95,10000,False
random,128,0.5,adaptive,betting,0.99,10000,False
random,64,0.1,iid,hoeffding,0.9,10000,False
random,64,0.1,iid,hoeffding,0.95,10000,False
random,64,0.1,iid,hoeffding,0.99,10000,False
random,64,0.1,iid,betting,0.9,10000,False
random,64,0.1,iid,betting,0.95,10000,False
random,64,0.1,iid,betting,0.99,10000,False
random,64,0.1,adaptive,hoeffding,0.9,10000,False
random,64,0.1,adaptive,hoeffding,0.95,10000,False
random,64,0.1,adaptive,hoeffding,0.99,10000,False
random,64,0.1,adaptive,betting,0.9,10000,False
random,64,0.1,adaptive,betting,0.95,10000,False
random,64,0.1,adaptive,betting,0.99,10000,False
random,64,0.2,iid,hoeffding,0.9,10000,False
random,64,0.2,iid,hoeffding,0.95,10000,False
random,64,0.2,iid,hoeffding,0.99,10000,False
random,64,0.2,iid,betting,0.9,10000,False
random,64,0.2,iid,betting,0.95,10000,False
random,64,0.2,iid,betting,0.99,10000,False
random,64,0.2,adaptive,hoeffding,0.9,10000,False
random,64,0.2,adaptive,hoeffding,0.95,10000,False
random,64,0.2,adaptive,hoeffding,0.99,10000,False
random,64,0.2,adaptive,betting,0.9,10000,False
random,64,0.2,adaptive,betting,0.95,10000,False
random,64,0.2,adaptive,betting,0.99,10000,False
random,64,0.5,iid,hoeffding,0.9,10000,False
random,64,0.5,iid,hoeffding,0.95,10000,False
random,64,0.5,iid,hoeffding,0.99,10000,False
random,64,0.5,iid,betting,0.9,10000,False
random,64,0.5,iid,betting,0.95,10000,False
random,64,0.5,iid,betting,0.99,10000,False
random,64,0.5,adaptive,hoeffding,0.9,10000,False
random,64,0.5,adaptive,hoeffding,0.95,10000,False
random,64,0.5,adaptive,hoeffding,0.99,10000,False
random,64,0.5,adaptive,betting,0.9,10000,False
random,64,0.5,adaptive,betting,0.95,10000,False
random,64,0.5,adaptive,betting,0.99,10000,False
random,32,0.1,iid,hoeffding,0.9,10000,False
random,32,0.1,iid,hoeffding,0.95,10000,False
random,32,0.1,iid,hoeffding,0.99,10000,False
random,32,0.1,iid,betting,0.9,10000,False
random,32,0.1,iid,betting,0.95,10000,False
random,32,0.1,iid,betting,0.99,10000,False
random,32,0.1,adaptive,hoeffding,0.9,10000,False
random,32,0.1,adaptive,hoeffding,0.95,10000,False
random,32,0.1,adaptive,hoeffding,0.99,10000,False
random,32,0.1,adaptive,betting,0.9,10000,False
random,32,0.1,adaptive,betting,0.95,10000,False
random,32,0.1,adaptive,betting,0.99,10000,False
random,32,0.2,iid,hoeffding,0.9,10000,False
random,32,0.2,iid,hoeffding,0.95,10000,False
random,32,0.2,iid,hoeffding,0.99,10000,False
random,32,0.2,iid,betting,0.9,10000,False
random,32,0.2,iid,betting,0.95,10000,False
random,32,0.2,iid,betting,0.99,10000,False
random,32,0.2,adaptive,hoeffding,0.9,10000,False
random,32,0.2,adaptive,hoeffding,0.95,10000,False
random,32,0.2,adaptive,hoeffding,0.99,10000,False
random,32,0.2,adaptive,betting,0.9,10000,False
random,32,0.2,adaptive,betting,0.95,10000,False
random,32,0.2,adaptive,betting,0.99,10000,False
random,32,0.5,iid,hoeffding,0.9,10000,False
random,32,0.5,iid,hoeffding,0.95,10000,False
random,32,0.5,iid,hoeffding,0.99,10000,False
random,32,0.5,iid,betting,0.9,10000,False
random,32,0.5,iid,betting,0.95,10000,False
random,32,0.5,iid,betting,0.99,10000,False
random,32,0.5,adaptive,hoeffding,0.9,10000,False
random,32,0.5,adaptive,hoeffding,0.95,10000,False
random,32,0.5,adaptive,hoeffding,0.99,10000,False
random,32,0.5,adaptive,betting,0.9,10000,False
random,32,0.5,adaptive,betting,0.95,10000,False
random,32,0.5,adaptive,betting,0.99,10000,False
